Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HeLMS-46,2.5765,46:22.3,35:18.2,\cite{Cox_2023},No,F110W,No
HerBS-32,2.58,18:40.8,+02:30:48,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-71,2.5778,32:43.0,-00:51:08.90,"\cite{Yang_2017, Cox_2023}",No,F110W,No
HerBS-168A,2.583,50:45.5,-30:47:20.3,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HerBS-126,2.5875,51:35.3,-01:14:17.3,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-81B,2.588,20:54.7,-31:27:50.8,\cite{Bendo_2023},No,No,No
HerBS-190,2.589,04:05.3,-00:33:33.5,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-37,2.619,26:23.1,-34:26:44.0,\cite{Urquhart_2022},No,F110W,No
SDP.130,2.626,09:49.6,48:47.4,\cite{Negrello_2017},"g, r, i, z, y",No,No
HerBS-59,2.63,13:04.9,-00:53:44,\cite{Cox_2023},"g, r, i, z, y","F160W, MIRVIS, F110W",No
HerBS-11,2.631,24:07.5,-28:14:34.7,\cite{Urquhart_2022},No,No,No
HerBS-178B,2.655,18:50.1,-28:36:40.5,\cite{Bendo_2023},No,No,No
HerBS-55,2.656,39:52.1,-32:14:45.5,\cite{Urquhart_2022},No,F110W,No
HerBS-178C,2.656,18:50.0,-28:36:43.2,\cite{Bendo_2023},No,No,No
HerBS-178A,2.658,18:50.3,-28:36:44.0,\cite{Bendo_2023},No,No,No
HerBS-34,2.6637,34:13.9,04:57.5,\cite{Neri_2020},No,No,No
HerBS-149,2.665,38:27.6,39:55.6,\cite{Cox_2023},No,No,No
HerBS-105,2.6684,39:32.0,-01:18:00.0,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F126N,  F110W",No
HerBS-35,2.68,35:43.0,+30:04:02,\cite{Cox_2023},No,"F110W, F153M",No
HerBS-110,2.681,18:33.2,02:10.9,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HATLASJ133542.9+300401,2.685,35:42.9,+30:04:01,\cite{Negrello_2017},No,"F110W, F153M",No
HerBS-65,2.6858,44:22.6,19:50.1,\cite{Cox_2023},No,No,No
HeLMS-26 W,2.6875,47:46.8,14:45.3,\cite{Cox_2023},No,F110W,No
HeLMS-2,2.6895,32:55.4,-03:11:34,\cite{Cox_2023},No,No,No
HeLMS-26 E,2.6899,47:47.6,14:39.4,\cite{Cox_2023},No,F110W,No
HerBS-169,2.6977,38:59.5,13:27.4,\cite{Cox_2023},"g, r, i, z, y"," F631N, F110W",No
HeLMS-54,2.707,27:17.8,39:46.5,\cite{Cox_2023},"g, i, z, y",No,No
HerBS-68,2.719,37:53.9,-30:58:27.9,\cite{Urquhart_2022},No,F110W,No
HerBS-49A,2.724,05:46.4,−33:10:38.1,\cite{Urquhart_2022},No,F110W,No
HerBS-49B,2.73,05:46.6,−33:10:43.1,\cite{Urquhart_2022},No,F110W,No
HerBS-145A,2.73,23:34.6,-31:46:23.6,\cite{Urquhart_2022},No,F110W,No
HeLMS-37,2.7576,08:01.8,32:01.2,\cite{Cox_2023},No,No,No
HeLMS-13,2.765,16:15.7,+03:24:35,\cite{Cox_2023},g,F110W,No
HeLMS-39,2.7659,29:36.0,07:13.1,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-188,2.7675,43:00.0,50:01.7,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-21,2.771,18:00.2,-06:02:35.3,\cite{Cox_2023},No,F110W,No
HerBS-140,2.7799,21:40.4,04:46.3,\cite{Cox_2023},"g, r, i, z, y","F343N, F110W",No
HerBS-7,2.778,28:59.2,+29:23:26.13,"\cite{Yang_2017, Cox_2023}",No,No,No
HerBS-113,2.787,12:11.4,38:37.8,\cite{Neri_2020},No,No,No
HerBS-31,2.79,56:52.5,+27:59:00,\cite{Cox_2023},No,F110W,No
HerBS-206,2.8122,04:21.8,-00:12:17.1,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-85,2.8169,47:52.8,-00:58:32.0,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HeLMS-16,2.8187,18:57.2,-05:30:34.7,\cite{Cox_2023},No,F110W,No
HerBS-109 NE,2.8385,29:00.8,19:16.3,\cite{Cox_2023},No,No,No
HerBS-122A,2.883,37:16.7,-32:32:57.4,\cite{Urquhart_2022},No,No,No
HerBS-25,2.912,58:27.5,-32:32:44.8,\cite{Urquhart_2022},No,No,No
HerBS-172,2.9246,50:40.5,33:35.8,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-44,2.9268,32:55.8,22:08.4,\cite{Neri_2020},No,"MIRVIS, F110W",No
HerBS-50,2.9283,03:19.1,-01:12:54.6,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-103,2.942,53:24.2,-32:35:04.2,\cite{Urquhart_2022},No,F110W,No
HerBS-89a,2.9497,16:11.5,12:17.7,\cite{Neri_2020},No,F110W,No
HerBS-3,2.951,26:30.1,+33:44:08,"\cite{Negrello_2017, Cox_2023}",No,"F160W, MIRVIS, F110W",No
HerBS-205 SE,2.9599,51:32.9,40:58.9,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-205 NE,2.96,51:32.9,41:02.8,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-205 W,2.963,51:32.4,41:00.5,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-95 E,2.9718,43:42.7,39:18.0,\cite{Neri_2020},No,No,No
HerBS-95 W,2.9729,43:41.5,39:22.7,\cite{Neri_2020},No,No,No
HerBS-176,2.9805,12:22.2,02:17.8,\cite{Cox_2023},No,No,No
HerS-17,3.0182,14:02.5,-00:46:11.0,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-73,3.026,28:53.1,-33:27:19.1,\cite{Urquhart_2022},No,F110W,No
HerBS-19,3.04,03:11.6,+00:39:07,\cite{Cox_2023},"g, r, i, z, y","F160W, G430M,  F475X, F110W",No
HerBS-137,3.0408,53:37.2,04:10.2,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
SDP.81,3.042,03:11.6,+00:39:06.43,"\cite{Negrello_2017, Yang_2017}","g, r, i, z, y","F160W, G430M,  F475X, F110W",No
HerBS-22A,3.05,26:25.0,-34:17:38.1,\cite{Urquhart_2022},No,F110W,No
HerS-3 SW,3.0607,27:54.3,49:42.6,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerS-3 NE,3.0608,27:54.1,49:38.9,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-155A,3.077,03:30.7,-32:11:35.1,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HerBS-36,3.095,56:23.1,-35:41:19.5,\cite{Urquhart_2022},No,No,No
HerBS-88,3.1,33:44.9,+00:01:09,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-12,3.1112,30:08.6,+24:59:00,"\cite{Negrello_2017, Cox_2023}",No,F110W,No
HerBS-147,3.115,34:03.7,02:30.1,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-120B,3.124,22:22.1,-27:44:59.0,\cite{Bendo_2023},No,No,No
HerBS-120A,3.125,22:22.4,-27:44:53.7,\cite{Bendo_2023},No,No,No
HerBS-10,3.1276,35:26.2,-01:46:06,"\cite{Negrello_2017, Cox_2023}","g, r, i, z, y",F110W,No
HerS-19 W,3.1394,05:28.8,05:01.2,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-40 W2,3.1395,53:31.6,17:21.0,\cite{Cox_2023},g,F110W,No
HerBS-163A,3.14,07:46.2,-34:20:03.0,\cite{Urquhart_2022},No,No,No
HerBS-48,3.1438,13:01.5,-00:49:23.2,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HeLMS-40 W1,3.1445,53:31.9,17:19.9,\cite{Cox_2023},g,F110W,No
HerBS-96,3.15,38:03.6,-01:17:37,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-153,3.1501,42:43.4,55:04.3,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-116 E\&W,3.1547,13:48.1,08:11.0,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-175,3.1575,19:00.8,33:26.9,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-81A,3.16,20:54.2,-31:27:57.4,\cite{Bendo_2023},No,No,No
HerS-19 SE,3.1678,05:29.3,04:57.0,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-134,3.1725,34:40.4,31:39.1,\cite{Cox_2023},No,"MIRVIS, F110W",No
HerBS-127,3.1958,21:28.8,20:23.2,\cite{Cox_2023},No,F110W,No
HerBS-43a,3.2121,24:18.8,07:54.4,\cite{Neri_2020},No,F110W,No
HerBS-39,3.229,29:00.8,-32:17:45.0,\cite{Urquhart_2022},No,No,No
HerBS-2,3.2592,46:37.9,-00:11:32,"\cite{Yang_2017, Cox_2023}","g, r, i, z, y",F110W,No
HerBS-60,3.261,57:24.3,-27:31:23.3,\cite{Urquhart_2022},No,F110W,No
HerBS-92 E\&W,3.2644,38:08.8,51:52.9,\cite{Cox_2023},No,No,No
HerBS-57,3.265,48:53.4,-30:31:09.9,\cite{Urquhart_2022},No,F110W,No
